,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Oct-2003,960.0,960.2,959.1,545.1,543.3,542.1,414.9,416.8,416.9,684.5,689.5,685.5,470.1,470.5,467.3,214.4,218.9,218.2,273.6,74.9,198.7,61.7,61.7,61.6,70.3,70.1,69.9,53.1,53.3,53.3,62.0,61.3,57.5,34.3,34.3,33.2,27.7,26.9,24.3,44.6,29.0,15.6,12.9,4.2,8.7,6.1,6.0,5.7,5.9,5.9,5.8,6.3,6.1,5.5,6.1,5.8,6.7,4.5,5.3,4.2,1022.0,1021.4,1016.6,579.4,577.7,575.3,442.6,443.8,441.2,65.6,65.6,65.3,74.7,74.5,74.2,56.6,56.8,56.4,540.6,200.2,340.4,1557.1,775.5,781.6
Nov-2003,961.7,960.4,961.1,546.8,545.9,545.2,414.9,414.5,415.9,686.3,690.1,689.9,471.3,472.8,472.8,215.0,217.4,217.1,271.3,72.4,198.9,61.7,61.6,61.6,70.4,70.3,70.2,53.0,53.0,53.1,61.6,64.3,58.2,33.4,34.9,31.8,28.2,29.4,26.4,44.4,25.6,18.9,13.8,6.3,7.5,6.0,6.3,5.7,5.8,6.0,5.5,6.4,6.6,6.0,6.0,5.1,8.0,4.8,8.0,3.6,1023.3,1024.7,1019.4,580.2,580.8,577.0,443.1,443.9,442.3,65.6,65.7,65.4,74.7,74.8,74.3,56.6,56.7,56.5,540.1,199.7,340.4,1559.5,776.8,782.7
Dec-2003,964.2,971.1,985.7,548.7,554.6,562.9,415.5,416.5,422.8,686.7,689.4,703.7,471.7,474.7,482.3,215.0,214.7,221.4,282.0,80.6,201.4,61.7,62.2,63.1,70.5,71.3,72.3,53.0,53.1,53.9,60.4,60.5,58.7,32.2,30.3,28.9,28.2,30.2,29.8,42.7,24.6,18.1,16.0,4.3,11.7,5.9,5.9,5.6,5.5,5.2,4.9,6.4,6.8,6.6,5.7,4.9,7.6,5.4,5.1,5.5,1024.6,1031.6,1044.3,580.9,584.9,591.7,443.7,446.7,452.6,65.6,66.1,66.9,74.7,75.2,76.1,56.6,57.0,57.7,517.5,186.3,331.2,1561.8,778.0,783.8
Jan-2004,967.1,967.7,959.1,550.5,552.1,551.5,416.6,415.6,407.7,686.4,683.7,690.0,471.5,469.6,473.6,214.9,214.1,216.4,269.1,77.9,191.2,61.8,61.9,61.3,70.6,70.8,70.7,53.1,53.0,51.9,58.9,57.8,64.9,31.0,31.0,35.5,27.9,26.8,29.3,48.9,28.8,20.1,15.9,6.7,9.2,5.7,5.6,6.3,5.3,5.3,6.0,6.3,6.1,6.7,6.6,5.7,8.5,5.6,7.9,4.6,1026.0,1025.5,1024.0,581.5,583.1,587.0,444.5,442.4,437.0,65.6,65.6,65.5,74.6,74.8,75.3,56.6,56.4,55.7,540.3,192.5,347.8,1564.3,779.5,784.9
Feb-2004,969.9,969.3,971.3,551.6,553.3,556.3,418.3,416.0,415.0,686.2,679.1,683.8,471.1,469.4,473.1,215.1,209.6,210.7,287.5,83.2,204.3,61.9,61.9,62.0,70.6,70.9,71.2,53.2,52.9,52.8,57.4,57.3,64.6,30.0,29.3,32.3,27.3,27.9,32.4,47.4,27.1,20.4,17.2,5.2,12.0,5.6,5.6,6.2,5.2,5.0,5.5,6.1,6.3,7.2,6.5,5.4,8.8,5.6,5.8,5.6,1027.2,1026.6,1035.9,581.6,582.7,588.6,445.6,443.9,447.3,65.6,65.5,66.1,74.5,74.6,75.4,56.7,56.5,56.9,531.0,192.3,338.6,1566.8,780.9,785.9
Mar-2004,972.1,971.2,971.9,551.9,549.7,550.3,420.2,421.5,421.6,686.5,683.0,676.8,470.8,469.5,467.9,215.7,213.5,208.8,295.1,82.4,212.7,62.0,61.9,61.9,70.6,70.3,70.3,53.4,53.6,53.6,55.9,54.4,57.5,29.3,28.9,29.5,26.6,25.5,28.0,41.6,23.2,18.4,15.9,6.4,9.5,5.4,5.3,5.6,5.0,5.0,5.1,6.0,5.7,6.2,5.8,4.7,8.1,5.1,7.2,4.3,1028.0,1025.6,1029.4,581.2,578.7,579.9,446.8,446.9,449.5,65.5,65.4,65.6,74.3,74.0,74.1,56.8,56.8,57.1,540.0,202.5,337.5,1569.4,782.3,787.0
Apr-2004,973.4,974.8,979.0,551.5,552.4,555.7,421.8,422.3,423.3,687.3,690.2,690.4,470.9,472.1,473.9,216.4,218.2,216.6,288.6,81.8,206.8,62.0,62.0,62.3,70.4,70.5,70.9,53.5,53.6,53.7,54.7,54.8,55.2,28.6,29.6,29.4,26.1,25.2,25.9,39.2,23.8,15.4,16.0,5.5,10.5,5.3,5.3,5.3,4.9,5.1,5.0,5.8,5.6,5.8,5.4,4.8,6.6,5.3,6.3,4.8,1028.0,1029.5,1034.2,580.2,582.0,585.0,447.9,447.5,449.2,65.4,65.5,65.8,74.1,74.3,74.7,56.9,56.8,57.0,536.8,198.2,338.6,1571.0,783.3,787.8
May-2004,974.0,982.3,981.9,550.8,556.6,555.8,423.1,425.6,426.2,688.1,693.0,693.7,471.1,471.9,472.8,217.1,221.1,220.8,288.3,82.9,205.3,61.9,62.5,62.4,70.2,71.0,70.9,53.7,54.0,54.0,53.7,55.5,54.5,27.9,29.3,27.9,25.8,26.3,26.7,38.8,22.8,16.0,15.7,5.1,10.7,5.2,5.4,5.3,4.8,5.0,4.8,5.7,5.8,5.9,5.3,4.6,6.8,5.2,5.7,4.9,1027.7,1037.8,1036.4,578.8,585.9,583.6,448.9,451.9,452.8,65.3,66.0,65.9,73.8,74.7,74.4,56.9,57.3,57.4,536.3,200.6,335.7,1572.7,784.2,788.5
Jun-2004,974.8,976.1,975.1,550.6,551.8,551.5,424.2,424.3,423.5,688.8,691.6,688.3,471.3,472.6,471.5,217.5,219.0,216.7,286.8,80.0,206.8,61.9,62.0,61.9,70.1,70.3,70.2,53.7,53.8,53.7,52.8,52.8,51.1,27.2,26.0,25.3,25.6,26.7,25.8,37.0,20.7,16.2,14.1,4.5,9.6,5.1,5.1,5.0,4.7,4.5,4.4,5.7,5.9,5.7,5.1,4.2,7.0,4.7,5.4,4.4,1027.6,1028.9,1026.2,577.8,577.9,576.8,449.8,451.0,449.4,65.3,65.4,65.2,73.6,73.6,73.5,57.0,57.1,56.9,548.2,208.3,339.9,1574.4,785.1,789.3
Jul-2004,976.8,973.5,973.0,551.3,549.2,549.5,425.5,424.2,423.5,689.4,686.4,685.2,471.6,471.5,470.1,217.8,214.9,215.0,287.9,79.4,208.5,61.9,61.7,61.7,70.1,69.8,69.9,53.8,53.7,53.6,51.7,50.8,47.8,26.4,25.6,24.3,25.3,25.2,23.5,32.3,18.9,13.5,15.5,5.4,10.0,5.0,5.0,4.7,4.6,4.5,4.2,5.6,5.6,5.3,4.5,3.9,5.9,5.1,6.4,4.6,1028.5,1024.3,1020.8,577.7,574.9,573.8,450.7,449.4,447.0,65.2,65.0,64.7,73.5,73.1,73.0,57.0,56.9,56.6,555.8,212.5,343.3,1576.7,786.3,790.3
Aug-2004,980.3,975.9,969.2,553.2,550.9,545.4,427.1,425.0,423.9,690.5,686.7,679.5,472.1,470.1,464.0,218.3,216.5,215.5,289.7,81.4,208.3,62.1,61.8,61.4,70.2,70.0,69.3,54.0,53.7,53.6,50.5,49.6,48.3,25.7,26.2,26.0,24.7,23.3,22.2,31.6,19.4,12.2,16.6,6.6,10.1,4.9,4.8,4.7,4.4,4.5,4.6,5.5,5.2,5.0,4.4,4.0,5.3,5.4,7.5,4.6,1030.7,1025.5,1017.5,578.9,577.2,571.4,451.8,448.3,446.1,65.3,64.9,64.4,73.5,73.3,72.6,57.1,56.6,56.4,561.4,216.1,345.3,1578.9,787.5,791.4
Sep-2004,985.3,980.1,981.5,555.9,552.4,550.7,429.4,427.8,430.8,692.8,685.9,691.5,473.4,466.7,468.1,219.4,219.2,223.4,290.0,82.6,207.3,62.3,62.0,62.1,70.5,70.0,69.8,54.2,54.0,54.4,49.3,51.1,52.0,25.1,24.6,25.4,24.1,26.5,26.6,34.9,19.8,15.2,17.1,5.7,11.4,4.8,5.0,5.0,4.3,4.3,4.4,5.3,5.8,5.8,4.8,4.1,6.4,5.6,6.4,5.2,1034.5,1031.2,1033.5,581.1,577.0,576.2,453.5,454.3,457.4,65.4,65.2,65.4,73.7,73.1,73.0,57.2,57.3,57.7,547.7,212.6,335.1,1581.2,788.8,792.4
Oct-2004,991.3,996.1,995.1,559.2,561.5,560.5,432.1,434.5,434.6,696.7,698.1,694.6,475.6,475.4,472.9,221.1,222.7,221.7,300.5,87.6,212.9,62.6,62.9,62.8,70.8,71.1,70.9,54.5,54.8,54.8,48.2,49.6,46.7,24.7,26.2,25.4,23.6,23.4,21.3,32.6,19.8,12.8,14.1,5.6,8.5,4.6,4.7,4.5,4.2,4.5,4.3,5.2,5.1,4.7,4.5,4.0,5.5,4.5,6.0,3.8,1039.5,1045.7,1041.7,583.8,587.8,585.9,455.7,457.9,455.9,65.6,66.0,65.8,73.9,74.4,74.1,57.4,57.7,57.4,542.0,204.3,337.7,1583.8,790.2,793.6
Nov-2004,997.6,1002.7,1000.6,562.6,565.0,563.5,435.0,437.7,437.1,701.9,704.0,703.2,478.5,479.1,478.9,223.4,224.9,224.3,297.4,84.7,212.7,62.9,63.2,63.1,71.1,71.4,71.2,54.7,55.1,55.0,47.6,45.5,40.9,24.3,23.3,21.2,23.4,22.1,19.7,28.4,17.3,11.1,12.5,3.9,8.6,4.6,4.3,3.9,4.1,4.0,3.6,5.1,4.8,4.3,3.9,3.5,4.7,4.0,4.4,3.9,1045.2,1048.2,1041.5,586.8,588.4,584.7,458.4,459.8,456.8,65.9,66.1,65.7,74.1,74.3,73.9,57.7,57.9,57.5,544.8,206.9,338.0,1586.3,791.6,794.8
Dec-2004,1003.5,1001.0,1015.7,565.8,564.9,573.0,437.7,436.1,442.8,708.0,704.0,718.3,482.1,480.7,488.4,225.9,223.3,229.9,297.4,84.5,212.9,63.1,63.0,63.9,71.3,71.2,72.3,55.0,54.8,55.6,47.5,46.4,44.9,23.9,24.2,22.9,23.6,22.3,21.9,32.8,19.3,13.5,12.0,3.6,8.4,4.5,4.4,4.2,4.1,4.1,3.9,5.1,4.9,4.7,4.4,3.8,5.5,3.9,4.1,3.8,1051.0,1047.5,1060.6,589.8,589.1,595.9,461.2,458.4,464.7,66.1,65.9,66.8,74.4,74.3,75.1,57.9,57.6,58.4,528.3,197.1,331.2,1588.9,793.0,795.9
Jan-2005,1009.0,1006.7,996.8,568.9,568.4,567.1,440.1,438.3,429.7,714.1,716.0,721.1,485.9,487.9,491.0,228.2,228.1,230.1,275.7,76.0,199.7,63.4,63.2,62.6,71.6,71.5,71.4,55.2,55.0,53.9,47.8,49.3,54.5,23.8,23.5,26.8,24.1,25.8,27.6,38.1,21.9,16.2,16.4,4.9,11.5,4.5,4.7,5.2,4.0,4.0,4.5,5.2,5.6,6.0,5.0,4.3,6.6,5.6,6.1,5.4,1056.8,1055.9,1051.3,592.6,591.9,593.9,464.2,464.1,457.4,66.4,66.3,66.0,74.6,74.5,74.7,58.2,58.2,57.4,540.8,200.8,340.0,1592.1,794.7,797.4
Feb-2005,1014.1,1014.6,1016.1,571.7,570.1,572.5,442.4,444.5,443.6,719.8,720.3,725.1,489.8,488.8,492.3,230.0,231.5,232.7,291.0,80.1,210.9,63.6,63.6,63.7,71.8,71.6,71.9,55.4,55.6,55.5,48.5,46.5,52.5,23.9,23.0,25.3,24.6,23.5,27.2,34.6,20.1,14.5,17.9,5.2,12.7,4.6,4.4,4.9,4.0,3.9,4.2,5.3,5.0,5.8,4.6,3.9,5.9,5.8,6.1,5.7,1062.7,1061.1,1068.5,595.6,593.1,597.8,467.1,468.0,470.7,66.6,66.5,67.0,74.8,74.5,75.1,58.5,58.6,58.9,526.7,198.6,328.1,1595.3,796.4,798.9
Mar-2005,1019.5,1018.4,1020.0,574.6,575.0,576.4,444.8,443.4,443.6,725.1,723.9,717.4,493.5,492.5,491.0,231.6,231.4,226.4,302.5,85.3,217.2,63.8,63.7,63.8,72.0,72.0,72.2,55.6,55.4,55.4,49.5,51.5,54.8,24.4,25.3,26.0,25.1,26.2,28.8,32.7,17.9,14.8,22.2,8.1,14.1,4.6,4.8,5.1,4.1,4.2,4.3,5.3,5.6,6.1,4.4,3.5,6.1,6.8,8.6,6.1,1068.9,1069.9,1074.8,599.1,600.3,602.3,469.9,469.5,472.4,66.9,66.9,67.2,75.1,75.2,75.5,58.7,58.7,59.0,523.7,195.8,327.9,1598.5,798.1,800.3
Apr-2005,1025.1,1026.1,1030.1,577.8,578.9,581.8,447.3,447.2,448.3,730.0,734.0,733.7,497.0,498.9,500.3,233.0,235.1,233.4,296.4,81.5,214.9,64.1,64.1,64.4,72.3,72.4,72.8,55.8,55.8,56.0,50.3,50.2,50.6,25.1,24.6,24.4,25.2,25.6,26.2,35.4,18.9,16.5,15.2,5.5,9.8,4.7,4.7,4.7,4.2,4.1,4.0,5.3,5.4,5.5,4.6,3.6,6.6,4.9,6.3,4.3,1075.4,1076.3,1080.7,602.9,603.5,606.2,472.5,472.8,474.5,67.2,67.2,67.5,75.4,75.5,75.8,59.0,59.0,59.2,519.7,193.1,326.7,1600.5,799.3,801.2
May-2005,1030.9,1038.0,1037.8,580.9,586.9,585.7,450.0,451.1,452.0,734.4,737.3,737.6,500.2,505.2,505.4,234.2,232.1,232.2,300.1,80.3,219.8,64.3,64.8,64.8,72.6,73.3,73.2,56.1,56.2,56.4,50.4,49.3,48.4,25.7,24.9,23.8,24.6,24.4,24.6,32.3,19.4,12.9,16.2,4.4,11.8,4.7,4.5,4.5,4.2,4.1,3.9,5.2,5.1,5.2,4.2,3.7,5.3,5.1,5.2,5.1,1081.2,1087.3,1086.2,606.6,611.8,609.5,474.6,475.5,476.7,67.5,67.9,67.8,75.8,76.4,76.2,59.2,59.3,59.4,516.3,190.9,325.4,1602.4,800.4,802.1
Jun-2005,1036.2,1034.9,1032.7,583.7,582.0,580.9,452.5,452.9,451.8,737.9,728.0,724.0,502.9,494.7,493.0,235.1,233.3,231.0,308.7,87.9,220.8,64.6,64.5,64.4,72.8,72.6,72.5,56.3,56.4,56.3,49.6,51.2,50.2,26.0,27.4,26.7,23.6,23.7,23.5,37.8,22.7,15.1,12.4,3.9,8.4,4.6,4.7,4.6,4.3,4.5,4.4,5.0,5.0,4.9,5.0,4.4,6.1,3.9,4.3,3.7,1085.8,1086.0,1082.9,609.6,609.4,607.6,476.2,476.6,475.3,67.7,67.7,67.5,76.0,76.0,75.8,59.3,59.4,59.2,521.6,193.9,327.6,1604.4,801.5,802.9
Jul-2005,1040.8,1038.9,1038.9,585.9,586.0,586.6,454.8,452.9,452.3,740.5,741.1,740.4,505.0,504.2,503.6,235.5,236.9,236.8,298.5,83.0,215.5,64.8,64.6,64.6,73.0,73.0,73.1,56.6,56.3,56.2,48.3,49.4,46.7,25.7,26.2,25.0,22.6,23.3,21.8,32.6,19.2,13.4,14.1,5.8,8.3,4.4,4.5,4.3,4.2,4.3,4.1,4.7,4.9,4.6,4.2,3.7,5.4,4.5,6.5,3.7,1089.0,1088.4,1085.6,611.6,612.2,611.5,477.4,476.2,474.1,67.8,67.7,67.5,76.2,76.2,76.2,59.4,59.2,59.0,521.5,191.4,330.1,1607.1,803.0,804.1
Aug-2005,1044.8,1047.0,1039.9,587.8,589.3,583.5,457.1,457.7,456.4,742.3,748.3,741.5,506.5,510.4,504.6,235.8,238.0,236.9,298.5,78.9,219.5,64.9,65.0,64.6,73.1,73.3,72.5,56.8,56.8,56.7,46.8,47.8,46.4,25.1,26.3,25.9,21.7,21.4,20.4,32.5,21.0,11.4,13.9,4.9,9.0,4.3,4.4,4.3,4.1,4.3,4.3,4.5,4.5,4.3,4.2,4.0,4.6,4.5,5.9,3.9,1091.6,1094.8,1086.3,612.9,615.7,609.5,478.7,479.1,476.8,67.8,68.0,67.5,76.2,76.5,75.8,59.4,59.5,59.2,523.5,194.9,328.5,1609.8,804.4,805.3
Sep-2005,1048.3,1054.7,1057.0,589.3,595.4,594.6,459.0,459.3,462.4,743.5,745.6,752.1,507.3,508.7,510.5,236.2,236.8,241.6,304.9,84.1,220.8,65.0,65.4,65.6,73.1,73.9,73.8,56.9,56.9,57.3,45.6,42.8,44.0,24.5,22.9,23.7,21.1,19.8,20.2,30.5,19.0,11.5,13.5,4.7,8.8,4.2,3.9,4.0,4.0,3.7,3.8,4.4,4.1,4.2,3.9,3.6,4.5,4.2,5.3,3.8,1094.0,1097.5,1100.9,613.8,618.4,618.3,480.2,479.1,482.6,67.8,68.1,68.3,76.2,76.7,76.7,59.5,59.4,59.8,511.5,187.6,323.9,1612.4,805.9,806.6
Oct-2005,1051.2,1051.2,1050.6,590.7,590.0,589.4,460.5,461.3,461.2,744.8,733.1,730.2,508.0,501.4,499.8,236.8,231.7,230.4,320.4,89.6,230.8,65.1,65.1,65.0,73.2,73.1,73.0,57.0,57.1,57.1,45.2,43.1,40.7,24.1,23.3,22.4,21.1,19.9,18.4,28.7,17.2,11.5,12.0,5.2,6.9,4.1,3.9,3.7,3.9,3.8,3.7,4.4,4.1,3.8,3.8,3.3,4.8,3.6,5.4,2.9,1096.4,1094.3,1091.3,614.9,613.2,611.8,481.5,481.1,479.5,67.9,67.7,67.6,76.1,75.9,75.8,59.6,59.6,59.4,524.0,195.7,328.3,1615.3,807.4,807.9
Nov-2005,1053.7,1051.9,1053.5,592.4,590.3,590.7,461.3,461.6,462.8,746.5,743.1,742.0,509.0,507.4,506.9,237.5,235.8,235.1,311.5,83.8,227.7,65.1,65.0,65.1,73.2,73.0,73.0,57.0,57.0,57.2,45.4,44.9,40.2,24.0,22.7,20.5,21.4,22.2,19.6,29.5,17.5,12.0,10.6,3.0,7.6,4.1,4.1,3.7,3.9,3.7,3.4,4.4,4.6,4.1,3.8,3.3,4.9,3.3,3.5,3.2,1099.1,1096.8,1093.6,616.4,613.0,611.2,482.7,483.8,482.4,67.9,67.8,67.6,76.2,75.8,75.6,59.6,59.8,59.6,524.6,197.8,326.8,1618.2,809.0,809.2
Dec-2005,1056.3,1056.5,1071.8,594.6,595.8,603.8,461.7,460.7,467.9,748.7,748.3,763.3,510.5,510.1,518.3,238.2,238.2,245.1,308.4,85.6,222.9,65.1,65.2,66.1,73.3,73.5,74.5,57.0,56.8,57.7,45.7,48.3,46.1,24.0,25.1,23.7,21.7,23.2,22.3,31.5,18.4,13.1,14.6,5.4,9.2,4.1,4.4,4.1,3.9,4.0,3.8,4.5,4.8,4.6,4.0,3.4,5.1,4.5,5.9,4.0,1102.1,1104.8,1117.8,618.6,620.9,627.6,483.5,484.0,490.3,68.0,68.2,69.0,76.3,76.6,77.4,59.6,59.7,60.5,503.2,183.0,320.2,1621.1,810.6,810.5
Jan-2006,1059.3,1061.8,1050.8,597.2,596.3,594.5,462.1,465.5,456.2,751.5,753.5,758.1,512.7,510.9,513.7,238.8,242.6,244.4,292.7,80.9,211.8,65.2,65.4,64.7,73.5,73.4,73.2,56.9,57.3,56.2,45.7,46.0,50.4,23.8,24.9,28.3,21.9,21.1,22.1,34.8,21.2,13.6,15.5,7.1,8.5,4.1,4.2,4.6,3.8,4.0,4.5,4.5,4.3,4.6,4.4,4.0,5.3,5.0,8.0,3.8,1105.0,1107.8,1101.2,621.1,621.2,622.8,484.0,486.6,478.3,68.0,68.2,67.8,76.4,76.4,76.7,59.6,59.9,58.9,523.5,189.7,333.7,1624.6,812.6,812.1
Feb-2006,1062.9,1058.5,1059.0,600.0,598.6,600.1,462.9,459.9,458.9,754.5,755.6,760.2,515.2,515.1,518.6,239.4,240.4,241.6,298.9,81.5,217.3,65.3,65.0,65.0,73.7,73.5,73.7,56.9,56.5,56.4,44.8,45.9,51.8,23.2,24.3,26.8,21.6,21.5,24.9,36.3,21.4,14.9,15.5,5.4,10.1,4.0,4.2,4.7,3.7,3.9,4.3,4.5,4.5,5.2,4.6,4.0,5.8,4.9,6.2,4.4,1107.6,1104.4,1110.8,623.2,622.9,627.0,484.4,481.4,483.8,68.0,67.8,68.2,76.5,76.5,77.0,59.6,59.2,59.5,517.4,187.6,329.8,1628.2,814.6,813.6
Mar-2006,1066.6,1067.2,1068.9,602.5,606.1,607.6,464.1,461.1,461.3,757.2,758.0,751.0,517.7,521.2,519.1,239.6,236.9,231.9,317.9,88.5,229.5,65.4,65.4,65.5,73.8,74.2,74.4,57.0,56.6,56.6,42.9,44.1,47.3,22.1,21.0,21.7,20.8,23.1,25.6,34.0,17.4,16.6,13.3,4.3,9.0,3.9,4.0,4.2,3.5,3.3,3.4,4.3,4.8,5.3,4.3,3.2,6.7,4.0,4.7,3.8,1109.5,1111.2,1116.2,624.6,627.1,629.3,484.9,484.2,486.9,68.0,68.1,68.4,76.5,76.8,77.1,59.5,59.4,59.7,515.5,187.3,328.2,1631.7,816.6,815.1
Apr-2006,1069.9,1072.0,1075.6,604.4,605.0,607.4,465.6,467.0,468.2,759.2,757.2,756.3,519.8,519.3,520.1,239.4,237.9,236.2,319.2,87.3,232.0,65.5,65.6,65.8,73.9,74.0,74.3,57.1,57.2,57.4,40.7,41.3,41.6,20.8,21.3,21.1,19.9,20.0,20.5,28.3,16.0,12.4,13.2,5.1,8.1,3.7,3.7,3.7,3.3,3.4,3.4,4.1,4.1,4.2,3.6,3.0,5.0,4.0,5.5,3.4,1110.6,1113.3,1117.1,625.1,626.3,628.5,485.5,487.0,488.7,68.0,68.1,68.4,76.4,76.6,76.8,59.5,59.7,59.9,517.0,189.5,327.5,1634.1,817.9,816.2
May-2006,1072.6,1075.1,1075.1,605.6,605.9,604.4,467.0,469.3,470.7,760.6,762.7,762.0,521.4,521.6,520.8,239.2,241.0,241.3,313.1,83.6,229.5,65.5,65.7,65.7,73.9,74.0,73.8,57.1,57.4,57.6,38.8,36.3,35.7,19.6,18.3,17.5,19.2,18.0,18.3,23.3,13.2,10.1,12.5,4.3,8.2,3.5,3.3,3.2,3.1,2.9,2.8,4.0,3.7,3.7,3.0,2.5,4.0,3.8,4.9,3.5,1111.4,1111.4,1110.8,625.2,624.2,621.8,486.2,487.2,489.0,67.9,67.9,67.9,76.3,76.2,75.9,59.5,59.6,59.8,525.6,197.4,328.2,1636.4,819.2,817.2
Jun-2006,1074.7,1074.4,1071.1,606.5,604.6,602.6,468.1,469.7,468.5,761.7,760.3,755.5,522.6,520.2,517.8,239.1,240.1,237.8,315.5,84.8,230.7,65.5,65.6,65.4,73.9,73.7,73.4,57.2,57.4,57.3,37.7,37.6,37.4,18.8,19.1,18.7,18.9,18.5,18.7,25.8,14.4,11.4,11.6,4.3,7.2,3.4,3.4,3.4,3.0,3.1,3.0,3.9,3.8,3.8,3.3,2.7,4.6,3.5,4.9,3.0,1112.3,1111.9,1108.4,625.3,623.8,621.3,487.1,488.2,487.2,67.8,67.9,67.6,76.2,76.0,75.7,59.5,59.7,59.5,530.4,199.3,331.1,1638.8,820.6,818.2
Jul-2006,1076.2,1075.7,1076.6,607.3,607.2,608.6,469.0,468.5,468.0,763.0,773.6,774.1,523.3,524.3,524.8,239.7,249.3,249.3,302.5,83.8,218.7,65.5,65.5,65.5,73.8,73.8,74.0,57.2,57.1,57.1,37.3,31.8,30.2,18.3,15.0,14.4,18.9,16.8,15.8,19.6,10.8,8.8,10.6,3.6,7.0,3.3,2.9,2.7,2.9,2.4,2.3,3.9,3.5,3.3,2.5,2.0,3.4,3.4,4.1,3.1,1113.5,1107.5,1106.8,625.6,622.2,623.0,487.9,485.4,483.8,67.8,67.4,67.4,76.1,75.7,75.8,59.5,59.2,59.0,535.8,199.4,336.4,1642.6,822.4,820.2
Aug-2006,1077.5,1074.7,1067.8,607.9,607.8,602.5,469.6,466.9,465.3,764.7,762.9,756.6,523.9,524.9,519.9,240.8,237.9,236.7,311.2,82.6,228.6,65.5,65.3,64.9,73.8,73.7,73.1,57.1,56.8,56.6,37.4,39.9,38.4,18.2,18.9,18.5,19.1,21.0,19.9,24.2,13.6,10.7,14.2,5.0,9.2,3.4,3.6,3.5,2.9,3.0,3.0,3.9,4.3,4.1,3.1,2.5,4.3,4.4,5.7,3.9,1114.9,1114.6,1106.2,626.1,626.7,621.0,488.7,487.8,485.2,67.7,67.7,67.2,76.0,76.0,75.3,59.5,59.3,59.0,540.1,203.2,336.9,1646.3,824.2,822.1
Sep-2006,1078.9,1081.7,1085.0,608.4,610.1,610.0,470.5,471.7,475.0,766.6,767.9,774.7,524.5,525.9,527.8,242.2,241.9,247.0,310.3,82.3,228.0,65.4,65.6,65.8,73.7,73.9,73.8,57.1,57.2,57.6,37.7,37.1,38.4,18.4,17.9,18.6,19.3,19.2,19.9,27.3,14.6,12.6,11.2,3.9,7.2,3.4,3.3,3.4,2.9,2.9,3.0,3.9,3.9,4.0,3.4,2.7,4.9,3.5,4.6,3.1,1116.6,1118.8,1123.5,626.8,628.0,628.6,489.8,490.9,494.9,67.7,67.8,68.1,75.9,76.0,76.1,59.4,59.6,60.1,526.6,197.5,329.2,1650.1,826.0,824.1
